names,position,nationality,mins played,shots,shots on target,goals,xG,chances created,assists,xA,passes,completed,tackles won,int,rec,avg distance,avg progress,shot-ending carry,goal-ending carry,end in chance,end in assist,shot-ending,goal-ending,total xG
JORGINHO,3,ITA,705,0,0,0,0,7,0,0.8,512,0.93,4,25,48,10.2,6.1,0,0,0,0,38,2,3.32
FEDERICO BERNARDESCHI,4,ITA,127,4,1,0,0.17,2,0,0.22,42,0.69,2,2,6,12.2,5.6,1,0,0,0,7,0,0.77
ANDREA BELOTTI,4,ITA,215,9,2,0,1.11,1,0,0.02,29,0.59,3,1,4,9,2.3,0,0,0,0,10,0,1.14
DOMENICO BERARDI,4,ITA,374,14,2,0,1.47,7,1,1.16,125,0.74,0,5,12,12.6,4.1,7,0,2,1,28,3,3.19
FEDERICO CHIESA,4,ITA,438,17,6,2,1.15,6,0,0.72,96,0.8,3,0,7,14.1,8.4,9,1,3,0,29,2,3.46
CIRO IMMOBILE,4,ITA,446,18,3,2,2.38,3,2,0.66,120,0.79,0,0,14,11.5,4.5,5,0,1,0,30,4,3.22
LORENZO INSIGNE,4,ITA,512,19,7,2,1.24,7,0,1.05,310,0.81,1,3,27,11,5.1,4,1,5,0,40,2,3.72
GORAN PANDEV,4,MAC,249,2,1,1,0.34,3,0,0.05,51,0.65,0,1,4,9.7,-2.3,0,0,0,0,6,1,0.54
BOBAN NIKOLOV,2,MAC,120,4,1,0,0.29,1,0,0.09,27,0.7,2,0,2,9,4,1,0,0,0,6,0,0.4
ALEKSANDAR TRAJKOVSKI,4,MAC,176,6,2,0,0.17,3,1,0.16,55,0.82,0,2,8,10.2,3.7,1,0,1,0,12,0,0.44
ENIS BARDHI,3,MAC,237,5,1,0,0.19,3,0,0.22,106,0.85,2,2,17,11.9,6.5,2,0,0,0,10,0,0.46
ARIJAN ADEMI,3,MAC,254,1,1,0,0.08,1,0,0.03,99,0.86,4,7,16,11.8,5.6,1,0,0,0,4,0,0.19
DARKO VELKOVSKI,1,MAC,265,1,0,0,0.31,0,0,0.01,114,0.83,2,5,13,8.4,7,0,0,0,0,1,0,0.03
VISAR MUSLIU,1,MAC,266,1,0,0,0.31,2,0,0.01,110,0.85,3,3,16,13.5,2.5,0,0,0,0,6,0,0.19
STEFAN RISTOVSKI,1,MAC,270,2,0,0,0.05,0,0,0.05,137,0.77,4,8,26,11.5,8.4,1,0,0,0,9,0,0.47
ELJIF ELMAS,3,MAC,270,6,0,0,0.33,1,0,0.07,102,0.89,3,2,16,12.8,6.2,1,0,0,0,10,0,0.56
EZGJAN ALIOSKI,2,MAC,270,4,1,1,0.42,2,0,0.41,116,0.72,5,1,13,12.2,9.8,0,0,2,0,12,1,0.95
MATTHIJS DE LIGT,1,NED,235,4,2,0,0.96,1,0,0.01,130,0.9,4,1,13,9.6,5.8,0,0,0,0,7,0,1.74
STEFAN DE VRIJ,1,NED,315,1,1,0,0.55,1,0,0.04,192,0.86,3,3,28,9.5,5.2,0,0,0,0,9,0,1.05
FRENKIE DE JONG,3,NED,349,0,0,0,0,4,0,0.4,268,0.86,5,7,32,11.3,6,0,0,1,0,16,0,1.94
GEORGINIO WIJNALDUM,3,NED,360,10,4,3,1.87,2,0,0.39,115,0.87,4,3,24,9.7,3.8,0,0,1,0,18,3,2.9
MEMPHIS DEPAY,4,NED,327,11,4,1,1.82,4,1,1.45,145,0.77,0,1,12,10.7,7.5,3,0,2,1,23,3,4.43
RYAN GRAVENBERCH,3,NED,106,2,0,0,0.07,1,0,0.1,94,0.84,1,5,7,10.3,6.7,1,0,0,0,7,2,1.79
JURRIËN TIMBER,1,NED,142,1,1,0,0.03,0,0,0.07,106,0.92,5,1,17,9.4,4.4,0,0,0,0,5,0,0.52
DONYELL MALEN,4,NED,150,3,0,0,0.17,3,2,1.26,51,0.86,0,0,3,13.1,9.4,1,0,2,1,9,2,2.04
WOUT WEGHORST,4,NED,193,5,2,1,0.5,2,0,0.46,51,0.67,2,0,5,9.7,2.3,1,0,0,0,8,1,0.64
MARTEN DE ROON,3,NED,237,1,0,0,0.03,2,0,0.05,154,0.8,1,4,17,7.9,3,0,0,0,0,6,0,0.84
DALEY BLIND,1,NED,299,0,0,0,0,2,0,0.53,300,0.88,7,4,30,9.3,5.1,0,0,0,0,12,1,2
PATRICK VAN AANHOLT,2,NED,300,4,0,0,0.42,3,0,0.38,152,0.78,3,3,23,11.3,2.8,0,0,0,0,14,0,0.98
DENZEL DUMFRIES,2,NED,315,6,4,2,1.86,3,0,0.16,88,0.74,2,2,12,9.4,5.6,0,0,2,0,11,2,1.97
KAMIL GLIK,1,POL,270,1,0,0,0.07,1,0,0.05,143,0.82,1,6,12,8.5,4.4,0,0,0,0,5,0,0.22
PIOTR ZIELINSKI,4,POL,265,7,2,0,0.24,5,1,0.45,98,0.84,2,1,18,11.8,5.3,2,0,3,0,16,3,1.24
ROBERT LEWANDOWSKI,4,POL,270,12,4,3,2.38,3,0,1.65,62,0.69,0,1,9,14.8,7.4,4,1,0,0,14,4,3.35
GRZEGORZ KRYCHOWIAK,3,POL,140,4,1,0,0.12,0,0,0.06,81,0.79,0,2,9,8.2,4,0,0,0,0,10,0,0.36
TYMOTEUSZ PUCHACZ,2,POL,151,1,0,0,0.03,0,0,0.19,34,0.65,1,0,15,19,13.9,0,0,0,0,1,0,0.03
KAROL SWIDERSKI,4,POL,163,5,1,0,0.93,2,0,0.09,36,0.75,1,0,5,10.8,-1.3,0,0,1,0,7,0,0.99
MATEUSZ KLICH,3,POL,213,1,0,0,0.03,1,0,0.12,97,0.74,2,1,8,9.7,1.3,0,0,0,0,6,2,0.83
KAMIL JOZWIAK,2,POL,241,0,0,0,0,4,1,0.28,99,0.78,3,1,20,13.4,6.7,0,0,2,0,12,2,0.53
JAN BEDNAREK,1,POL,265,1,0,0,0.06,0,0,0.03,156,0.9,4,6,10,8.1,3,0,0,0,0,10,1,0.93
BARTOSZ BERESZYNSKI,1,POL,270,2,1,0,0.07,0,0,0.09,173,0.8,2,9,22,10.6,5.2,0,0,0,0,13,2,0.95
RÚBEN DIAS,1,POR,360,1,1,0,0.06,0,0,0.16,317,0.91,3,3,23,9.7,6.2,0,0,0,0,6,0,0.39
NÉLSON SEMEDO,2,POR,259,0,0,0,0,2,0,0.35,138,0.88,9,1,10,11.3,7.7,0,0,1,0,3,0,0.24
BRUNO FERNANDES,3,POR,206,4,1,0,0.13,3,0,0.85,82,0.88,2,0,6,11.8,5.4,1,0,0,0,9,0,0.91
DANILO PEREIRA,3,POR,237,1,1,0,0.34,1,0,0.06,132,0.91,2,5,19,10.6,2.8,0,0,0,0,7,0,0.76
BERNARDO SILVA,4,POR,243,0,0,0,0,5,0,0.66,98,0.82,2,1,15,11.4,6.1,0,0,3,0,8,1,1.36
DIOGO JOTA,4,POR,324,8,3,1,1.55,4,1,0.87,106,0.82,2,1,13,12.1,6.8,2,0,1,1,14,1,1.67
